Network,m,beta,mu,SteadyState
graphs/WS-1000.adjlist,14,0.245,1,0.2614
graphs/WS-1000.adjlist,14,0.25,1,0.2688
graphs/WS-1000.adjlist,14,0.255,1,0.2773
graphs/WS-1000.adjlist,14,0.26,1,0.2847
graphs/WS-1000.adjlist,14,0.265,1,0.2939
graphs/WS-1000.adjlist,14,0.27,1,0.2979
graphs/WS-1000.adjlist,14,0.275,1,0.3055
graphs/WS-1000.adjlist,14,0.28,1,0.3134
graphs/WS-1000.adjlist,14,0.285,1,0.3163
graphs/WS-1000.adjlist,14,0.29,1,0.3232
graphs/WS-1000.adjlist,14,0.295,1,0.3278
graphs/WS-1000.adjlist,14,0.3,1,0.3357
graphs/WS-1000.adjlist,14,0.305,1,0.3379
graphs/WS-1000.adjlist,14,0.31,1,0.3452
graphs/WS-1000.adjlist,14,0.315,1,0.3498
graphs/WS-1000.adjlist,15,0.16,1,0.0575
graphs/WS-1000.adjlist,15,0.165,1,0.0786
graphs/WS-1000.adjlist,15,0.17,1,0.0991
graphs/WS-1000.adjlist,15,0.175,1,0.1123
graphs/WS-1000.adjlist,15,0.18,1,0.1284
graphs/WS-1000.adjlist,15,0.185,1,0.1419
graphs/WS-1000.adjlist,15,0.19,1,0.1577
graphs/WS-1000.adjlist,15,0.195,1,0.1689
graphs/WS-1000.adjlist,15,0.2,1,0.1813
graphs/WS-1000.adjlist,15,0.205,1,0.1938
graphs/WS-1000.adjlist,15,0.21,1,0.202
graphs/WS-1000.adjlist,15,0.215,1,0.2161
graphs/WS-1000.adjlist,15,0.22,1,0.2257
graphs/WS-1000.adjlist,15,0.225,1,0.2344
graphs/WS-1000.adjlist,15,0.23,1,0.2425
graphs/WS-1000.adjlist,15,0.235,1,0.2536
graphs/WS-1000.adjlist,15,0.24,1,0.2629
graphs/WS-1000.adjlist,15,0.245,1,0.2707
graphs/WS-1000.adjlist,15,0.25,1,0.2774
graphs/WS-1000.adjlist,15,0.255,1,0.2859
